fold,model,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
3,base,end_band,AdaBoost,1524,508,508,,0.5984251968503937,0.6259842519685039,0.5708661417322834,0.5932835820895522,0.6259842519685039,0.6091954022988506,0.6396630293260586,159,95,145,109,508
3,base,ib_no_pca,LR,1524,508,508,,0.59251968503937,0.5866141732283464,0.5984251968503937,0.5936254980079682,0.5866141732283464,0.5900990099009901,0.5968131936263873,149,105,152,102,508
3,base,ib_no_pca,RF,1524,508,508,,0.5826771653543307,0.5590551181102362,0.6062992125984252,0.5867768595041323,0.5590551181102362,0.5725806451612904,0.6072369644739289,142,112,154,100,508
3,base,ib_no_pca,AdaBoost,1524,508,508,,0.5708661417322834,0.547244094488189,0.594488188976378,0.5743801652892562,0.547244094488189,0.5604838709677419,0.5689131378262756,139,115,151,103,508
3,base,vote_ensemble,LR,1524,508,508,,0.6791338582677166,0.6417322834645669,0.7165354330708661,0.6936170212765957,0.6417322834645669,0.6666666666666666,,163,91,182,72,508
3,base,vote_ensemble,RF,1524,508,508,,0.6456692913385826,0.6299212598425197,0.6614173228346457,0.6504065040650406,0.6299212598425197,0.64,,160,94,168,86,508
3,base,vote_ensemble,AdaBoost,1524,508,508,,0.6673228346456693,0.6771653543307087,0.65748031496063,0.6640926640926641,0.6771653543307087,0.6705653021442495,,172,82,167,87,508
3,base,avg_ensemble,LR,1524,508,508,,0.6909448818897638,0.6535433070866141,0.7283464566929134,0.7063829787234043,0.6535433070866141,0.6789366053169734,0.7286409572819146,166,88,185,69,508
3,base,avg_ensemble,RF,1524,508,508,,0.6417322834645669,0.6299212598425197,0.6535433070866141,0.6451612903225806,0.6299212598425197,0.6374501992031872,0.7280597061194123,160,94,166,88,508
3,base,avg_ensemble,AdaBoost,1524,508,508,,0.6614173228346457,0.6692913385826772,0.6535433070866141,0.6589147286821705,0.6692913385826772,0.6640625,0.7411029822059644,170,84,166,88,508
4,base,per_layer,LR,1524,508,508,16,0.6633858267716536,0.6653543307086615,0.6614173228346457,0.6627450980392157,0.6653543307086615,0.6640471512770137,0.7266414532829065,169,85,168,86,508
4,base,per_layer,RF,1524,508,508,16,0.6692913385826772,0.65748031496063,0.6811023622047244,0.6733870967741935,0.65748031496063,0.6653386454183267,0.7486747473494947,167,87,173,81,508
4,base,per_layer,AdaBoost,1524,508,508,22,0.6417322834645669,0.6377952755905512,0.6456692913385826,0.6428571428571429,0.6377952755905512,0.6403162055335968,0.6973773947547894,162,92,164,90,508
4,base,mid_band,LR,1524,508,508,,0.6830708661417323,0.6692913385826772,0.6968503937007874,0.6882591093117408,0.6692913385826772,0.6786427145708582,0.7733585467170935,170,84,177,77,508
4,base,mid_band,RF,1524,508,508,,0.6181102362204725,0.610236220472441,0.6259842519685039,0.62,0.610236220472441,0.6150793650793651,0.6684620869241739,155,99,159,95,508
4,base,mid_band,AdaBoost,1524,508,508,,0.6259842519685039,0.5826771653543307,0.6692913385826772,0.6379310344827587,0.5826771653543307,0.6090534979423868,0.686496372992746,148,106,170,84,508
4,base,full_layer,LR,1524,508,508,,0.6909448818897638,0.6653543307086615,0.7165354330708661,0.7012448132780082,0.6653543307086615,0.6828282828282828,0.7619815239630481,169,85,182,72,508
4,base,full_layer,RF,1524,508,508,,0.6181102362204725,0.5787401574803149,0.65748031496063,0.6282051282051282,0.5787401574803149,0.6024590163934426,0.6734220968441936,147,107,167,87,508
4,base,full_layer,AdaBoost,1524,508,508,,0.5748031496062992,0.5748031496062992,0.5748031496062992,0.5748031496062992,0.5748031496062992,0.5748031496062992,0.6416857833715668,146,108,146,108,508
4,base,init_band,LR,1524,508,508,,0.5905511811023622,0.562992125984252,0.6181102362204725,0.5958333333333333,0.562992125984252,0.5789473684210527,0.6332227664455329,143,111,157,97,508
4,base,init_band,RF,1524,508,508,,0.5492125984251969,0.4881889763779528,0.610236220472441,0.5560538116591929,0.4881889763779528,0.519916142557652,0.551739103478207,124,130,155,99,508
4,base,init_band,AdaBoost,1524,508,508,,0.562992125984252,0.5708661417322834,0.5551181102362205,0.562015503875969,0.5708661417322834,0.56640625,0.581979663959328,145,109,141,113,508
4,base,init_band_emb,LR,1524,508,508,,0.5905511811023622,0.562992125984252,0.6181102362204725,0.5958333333333333,0.562992125984252,0.5789473684210527,0.633253766507533,143,111,157,97,508
4,base,init_band_emb,RF,1524,508,508,,0.5551181102362205,0.49606299212598426,0.6141732283464567,0.5625,0.49606299212598426,0.5271966527196653,0.551467852935706,126,128,156,98,508
