method,ck,fold,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
GradDiff,1,2,mid_band,AdaBoost,1524,508,508,,0.6003937007874016,0.6456692913385826,0.5551181102362205,0.592057761732852,0.6456692913385826,0.6177024482109228,0.6528303056606113,164,90,141,113,508
GradDiff,1,2,full_layer,LR,1524,508,508,,0.6594488188976378,0.7204724409448819,0.5984251968503937,0.6421052631578947,0.7204724409448819,0.6790352504638218,0.7329654659309319,183,71,152,102,508
GradDiff,1,2,full_layer,RF,1524,508,508,,0.6181102362204725,0.5787401574803149,0.65748031496063,0.6282051282051282,0.5787401574803149,0.6024590163934426,0.6562403124806251,147,107,167,87,508
GradDiff,1,2,full_layer,AdaBoost,1524,508,508,,0.594488188976378,0.6259842519685039,0.562992125984252,0.5888888888888889,0.6259842519685039,0.6068702290076335,0.6371907743815488,159,95,143,111,508
GradDiff,1,2,init_band,LR,1524,508,508,,0.5984251968503937,0.6181102362204725,0.5787401574803149,0.5946969696969697,0.6181102362204725,0.6061776061776062,0.6326647653295306,157,97,147,107,508
GradDiff,1,2,init_band,RF,1524,508,508,,0.562992125984252,0.5236220472440944,0.6023622047244095,0.5683760683760684,0.5236220472440944,0.5450819672131147,0.588745427490855,133,121,153,101,508
GradDiff,1,2,init_band,AdaBoost,1524,508,508,,0.547244094488189,0.5433070866141733,0.5511811023622047,0.5476190476190477,0.5433070866141733,0.5454545454545454,0.5619381238762478,138,116,140,114,508
GradDiff,1,2,init_band_emb,LR,1524,508,508,,0.5984251968503937,0.6181102362204725,0.5787401574803149,0.5946969696969697,0.6181102362204725,0.6061776061776062,0.6327112654225309,157,97,147,107,508
GradDiff,1,2,init_band_emb,RF,1524,508,508,,0.5433070866141733,0.5078740157480315,0.5787401574803149,0.5466101694915254,0.5078740157480315,0.5265306122448979,0.5754541509083018,129,125,147,107,508
GradDiff,1,2,init_band_emb,AdaBoost,1524,508,508,,0.5511811023622047,0.594488188976378,0.5078740157480315,0.5471014492753623,0.594488188976378,0.569811320754717,0.5791121582243165,151,103,129,125,508
GradDiff,1,2,end_band,LR,1524,508,508,,0.6535433070866141,0.6850393700787402,0.6220472440944882,0.6444444444444445,0.6850393700787402,0.6641221374045801,0.7085684171368343,174,80,158,96,508
GradDiff,1,2,end_band,RF,1524,508,508,,0.6082677165354331,0.5905511811023622,0.6259842519685039,0.6122448979591837,0.5905511811023622,0.6012024048096193,0.6545275590551181,150,104,159,95,508
GradDiff,1,2,end_band,AdaBoost,1524,508,508,,0.6279527559055118,0.6614173228346457,0.594488188976378,0.6199261992619927,0.6614173228346457,0.64,0.6864498728997458,168,86,151,103,508
GradDiff,1,2,ib_no_pca,LR,1524,508,508,,0.5688976377952756,0.594488188976378,0.5433070866141733,0.5655430711610487,0.594488188976378,0.5796545105566219,0.5877611755223511,151,103,138,116,508
GradDiff,1,2,ib_no_pca,RF,1524,508,508,,0.5708661417322834,0.547244094488189,0.594488188976378,0.5743801652892562,0.547244094488189,0.5604838709677419,0.5978826957653914,139,115,151,103,508
GradDiff,1,2,ib_no_pca,AdaBoost,1524,508,508,,0.5137795275590551,0.49606299212598426,0.531496062992126,0.5142857142857142,0.49606299212598426,0.5050100200400801,0.535262570525141,126,128,135,119,508
GradDiff,1,2,vote_ensemble,LR,1524,508,508,,0.6220472440944882,0.6692913385826772,0.5748031496062992,0.6115107913669064,0.6692913385826772,0.6390977443609023,,170,84,146,108,508
GradDiff,1,2,vote_ensemble,RF,1524,508,508,,0.594488188976378,0.5866141732283464,0.6023622047244095,0.596,0.5866141732283464,0.5912698412698413,,149,105,153,101,508
GradDiff,1,2,vote_ensemble,AdaBoost,1524,508,508,,0.6299212598425197,0.6377952755905512,0.6220472440944882,0.627906976744186,0.6377952755905512,0.6328125,,162,92,158,96,508
GradDiff,1,2,avg_ensemble,LR,1524,508,508,,0.6259842519685039,0.6653543307086615,0.5866141732283464,0.6167883211678832,0.6653543307086615,0.6401515151515151,0.6754913509827021,169,85,149,105,508
GradDiff,1,2,avg_ensemble,RF,1524,508,508,,0.59251968503937,0.6220472440944882,0.562992125984252,0.587360594795539,0.6220472440944882,0.6042065009560229,0.6638353276706553,158,96,143,111,508
GradDiff,1,2,avg_ensemble,AdaBoost,1524,508,508,,0.6318897637795275,0.6535433070866141,0.610236220472441,0.6264150943396226,0.6535433070866141,0.6396917148362236,0.6836133672267345,166,88,155,99,508
GradDiff,1,3,per_layer,LR,1524,508,508,16,0.6377952755905512,0.65748031496063,0.6181102362204725,0.6325757575757576,0.65748031496063,0.6447876447876448,0.690758881517763,167,87,157,97,508
GradDiff,1,3,per_layer,RF,1524,508,508,20,0.6279527559055118,0.610236220472441,0.6456692913385826,0.6326530612244898,0.610236220472441,0.6212424849699398,0.68498511997024,155,99,164,90,508
GradDiff,1,3,per_layer,AdaBoost,1524,508,508,29,0.5590551181102362,0.594488188976378,0.5236220472440944,0.5551470588235294,0.594488188976378,0.5741444866920152,0.6071982143964288,151,103,133,121,508
GradDiff,1,3,mid_band,LR,1524,508,508,,0.6712598425196851,0.6889763779527559,0.6535433070866141,0.6653992395437263,0.6889763779527559,0.6769825918762089,0.720487940975882,175,79,166,88,508
