model,clf,layer,mean_accuracy,std_accuracy,mean_true_accuracy,std_true_accuracy,mean_false_accuracy,std_false_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc
ELM,AdaBoost,13,0.5433070866141732,0.017340720902004135,0.5464566929133858,0.009771396571646326,0.5401574803149607,0.03844584445900381,0.5438197282018653,0.019401451826522958,0.5464566929133858,0.009771396571646326,0.5448663148202553,0.009347791314579707,0.563009176018352,0.023427245671464786
ELM,AdaBoost,14,0.5496062992125984,0.02276666503118261,0.5519685039370078,0.03307086614173228,0.5472440944881889,0.040380728834513664,0.5498273319474853,0.02348833172346763,0.5519685039370078,0.03307086614173228,0.5504184703482198,0.023805355220011013,0.5595092690185381,0.016866551297940947
ELM,AdaBoost,15,0.5503937007874016,0.01355840579348231,0.5598425196850393,0.031239109330515574,0.5409448818897638,0.040350009371083344,0.5500505054664521,0.01613010495292658,0.5598425196850393,0.031239109330515574,0.5542782872460522,0.01589909085214978,0.5771343542687086,0.02229302022939053
ELM,AdaBoost,16,0.5476377952755905,0.013489639133080144,0.5417322834645669,0.016251785386260095,0.5535433070866141,0.025708390106007093,0.5484763561117745,0.01500049986850426,0.5417322834645669,0.016251785386260095,0.5449239628588372,0.012410384308199901,0.5626991753983508,0.007852759030942626
ELM,AdaBoost,17,0.5429133858267716,0.01383005359862228,0.5614173228346456,0.016059903979819767,0.5244094488188976,0.027660107197244575,0.5416583986548311,0.014067006594689178,0.5614173228346456,0.016059903979819767,0.5511997830722658,0.011832996610585698,0.5625751751503503,0.02268649020871882
ELM,AdaBoost,18,0.5322834645669291,0.0123624554866989,0.5299212598425196,0.018058810930991688,0.5346456692913386,0.02810483196468463,0.5327317532764859,0.013579263320761942,0.5299212598425196,0.018058810930991688,0.531106384991529,0.011536223921815615,0.5439348378696757,0.00911547189902858
ELM,AdaBoost,19,0.5397637795275589,0.02656824065953227,0.526771653543307,0.038203179435301444,0.552755905511811,0.022075347667521557,0.5403550328825728,0.026604427894439238,0.526771653543307,0.038203179435301444,0.53332579065699,0.03196765841113589,0.5551692603385207,0.02345710218154343
ELM,AdaBoost,20,0.5543307086614173,0.009691758759914291,0.5354330708661417,0.029037935298560268,0.573228346456693,0.022902424523226748,0.5564607611679298,0.00960212848173035,0.5354330708661417,0.029037935298560268,0.5453941234420873,0.016839544239665168,0.5682109864219729,0.011981675954625896
ELM,AdaBoost,21,0.5460629921259843,0.011980412641498355,0.5346456692913386,0.012299605788829396,0.5574803149606298,0.020167320432859362,0.5472986648989785,0.012876226143025837,0.5346456692913386,0.012299605788829396,0.5408218827814548,0.010832984381026405,0.5616405232810466,0.011368429661974194
ELM,AdaBoost,22,0.5377952755905511,0.02440944881889764,0.5456692913385826,0.019060973916394018,0.5299212598425196,0.04939964453971063,0.5383634046231842,0.026180588068729513,0.5456692913385826,0.019060973916394018,0.5415588460799164,0.016841175206597427,0.5468162936325873,0.03238833655883214
ELM,AdaBoost,23,0.5385826771653544,0.00822071378654375,0.5244094488188976,0.030839615791442752,0.552755905511811,0.0417099925610993,0.5404045611765155,0.01143998141666537,0.5244094488188976,0.030839615791442752,0.5315240137696389,0.013162927167055345,0.5485491970983942,0.016372372903226493
ELM,AdaBoost,24,0.5531496062992125,0.02410915101164544,0.5724409448818898,0.03175093724985188,0.5338582677165353,0.036305958687869296,0.5514518078335874,0.02366962621314537,0.5724409448818898,0.03175093724985188,0.5614335737469318,0.02445566826456259,0.5689534379068758,0.019108096227408562
ELM,AdaBoost,25,0.5330708661417323,0.01066631274342055,0.5401574803149606,0.026632337835098843,0.5259842519685038,0.019383517519828624,0.5325053135010317,0.010009098090525475,0.5401574803149606,0.026632337835098843,0.5360743735779604,0.016777253576382944,0.5383238266476533,0.01163810927757635
ELM,AdaBoost,26,0.5362204724409448,0.010083660216429717,0.5393700787401575,0.02977585889951028,0.5330708661417323,0.024599211577658757,0.5359382795154368,0.009406949095481053,0.5393700787401575,0.02977585889951028,0.5373031510128146,0.017609904888525384,0.5450260400520801,0.016864729932919906
