method,contrast,feature_mode,direction,question_set,quintile,n_questions,positive_rate,suppressed_rate,forgotten_rate,retained_rate,mean_projection_score,projection_score_min,projection_score_max
RMU,forgotten_vs_retained,correct_only,mean_difference,Qstar,2,86,0.0581395348837209,0.0,0.0581395348837209,0.9418604651162792,-0.5620807636572549,-0.7765578829649776,-0.302853263616517
RMU,forgotten_vs_retained,correct_only,mean_difference,Qstar,3,87,0.0459770114942528,0.0,0.0459770114942528,0.9540229885057472,0.0004777265848408,-0.2964501686371034,0.2390854589170382
RMU,forgotten_vs_retained,correct_only,mean_difference,Qstar,4,86,0.0930232558139534,0.0,0.0930232558139534,0.9069767441860463,0.5216208834592865,0.2577686490186597,0.8022173804557864
RMU,forgotten_vs_retained,correct_only,mean_difference,Qstar,5,87,0.2413793103448276,0.0,0.2413793103448276,0.7586206896551724,1.1890161955983094,0.8035309922986889,2.514583951547542
RR,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,1,41,0.6829268292682927,0.6829268292682927,0.3170731707317073,0.0,-1.280075466443958,-2.6215874463244755,-0.7637241753559489
RR,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,2,40,0.875,0.875,0.125,0.0,-0.462567538996616,-0.7585725798638759,-0.2065368588021289
RR,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,3,40,0.95,0.95,0.05,0.0,0.0302850341209544,-0.2005816140877259,0.3446863104526344
RR,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,4,40,0.95,0.95,0.05,0.0,0.5918125602671391,0.3856357312179412,0.8181857396641776
RR,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,5,41,0.902439024390244,0.902439024390244,0.0975609756097561,0.0,1.124436388013248,0.8218328885683046,1.9633669484299885
RR,suppressed_vs_retained,correct_only,mean_difference,Qstar,1,121,0.1983471074380165,0.1983471074380165,0.0,0.8016528925619835,-1.2627670770618895,-2.2330883210742734,-0.7857091790740345
RR,suppressed_vs_retained,correct_only,mean_difference,Qstar,2,120,0.3083333333333333,0.3083333333333333,0.0,0.6916666666666667,-0.4617991344130699,-0.783216157500228,-0.2114407729197115
RR,suppressed_vs_retained,correct_only,mean_difference,Qstar,3,120,0.25,0.25,0.0,0.75,0.0260363014672146,-0.2054001667689525,0.2354126211492292
RR,suppressed_vs_retained,correct_only,mean_difference,Qstar,4,120,0.375,0.375,0.0,0.625,0.5171060472372015,0.237112884286276,0.8113047969559087
RR,suppressed_vs_retained,correct_only,mean_difference,Qstar,5,120,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.1919469217460592,0.8128690938159462,2.5645611217240405
RR,suppressed_vs_rest,correct_only,mean_difference,Qstar,1,141,0.1843971631205673,0.1843971631205673,0.0496453900709219,0.5602836879432624,-0.6387602627575886,-1.743281286070869,-0.3223835881367196
RR,suppressed_vs_rest,correct_only,mean_difference,Qstar,2,140,0.2071428571428571,0.2071428571428571,0.0285714285714285,0.6357142857142857,-0.1950643325593248,-0.3206627063966757,-0.0901486500614702
RR,suppressed_vs_rest,correct_only,mean_difference,Qstar,3,140,0.2571428571428571,0.2571428571428571,0.05,0.5857142857142857,-0.0046925726727015,-0.0900569158063952,0.0905560655479502
RR,suppressed_vs_rest,correct_only,mean_difference,Qstar,4,140,0.2714285714285714,0.2714285714285714,0.0142857142857142,0.6642857142857143,0.2145428322517014,0.0918843597030296,0.3345543984286013
RR,suppressed_vs_rest,correct_only,mean_difference,Qstar,5,140,0.3357142857142857,0.3357142857142857,0.0428571428571428,0.5857142857142857,0.6285369090433247,0.337522857823432,1.8553773039853856
RR,forgotten_vs_retained,correct_only,mean_difference,Qstar,1,91,0.0439560439560439,0.0,0.0439560439560439,0.956043956043956,-0.7371352708630998,-1.4666526515198446,-0.4905995817383077
RR,forgotten_vs_retained,correct_only,mean_difference,Qstar,2,90,0.0333333333333333,0.0,0.0333333333333333,0.9666666666666668,-0.3240772987500346,-0.489653472973843,-0.1795680507055153
RR,forgotten_vs_retained,correct_only,mean_difference,Qstar,3,90,0.0444444444444444,0.0,0.0444444444444444,0.9555555555555556,-0.0606014907538035,-0.1786982232240757,0.0594538397365187
RR,forgotten_vs_retained,correct_only,mean_difference,Qstar,4,90,0.0555555555555555,0.0,0.0555555555555555,0.9444444444444444,0.2732760475277124,0.0669457221672908,0.5030684908230897
RR,forgotten_vs_retained,correct_only,mean_difference,Qstar,5,90,0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,0.8567284047377044,0.5123051135290363,1.7159604062304967
RepNoise,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,1,63,0.5873015873015873,0.5873015873015873,0.4126984126984127,0.0,-1.379013270454521,-2.342035785084601,-0.8108506543429226
