model,checkpoint,fold,probe_type,classifier,probe_variant,remains,unlearned,emerged,never_known,total
TAR,ck8,single,end_band,LR,method_probe,485,281,173,207,1146
TAR,ck8,single,end_band,RF,frozen_base,359,341,213,233,1146
TAR,ck8,single,end_band,RF,method_probe,407,293,225,221,1146
TAR,ck8,single,end_band,AdaBoost,frozen_base,358,364,215,209,1146
TAR,ck8,single,end_band,AdaBoost,method_probe,407,315,220,204,1146
TAR,ck8,single,ib_no_pca,LR,frozen_base,324,305,249,268,1146
TAR,ck8,single,ib_no_pca,LR,method_probe,505,124,118,399,1146
TAR,ck8,single,ib_no_pca,RF,frozen_base,319,324,248,255,1146
TAR,ck8,single,ib_no_pca,RF,method_probe,464,179,172,331,1146
TAR,ck8,single,ib_no_pca,AdaBoost,frozen_base,336,284,240,286,1146
TAR,ck8,single,ib_no_pca,AdaBoost,method_probe,374,246,240,286,1146
PB&J,ck8,single,per_layer,LR,frozen_base,437,301,170,238,1146
PB&J,ck8,single,per_layer,LR,method_probe,451,287,183,225,1146
PB&J,ck8,single,per_layer,RF,frozen_base,414,313,188,231,1146
PB&J,ck8,single,per_layer,RF,method_probe,418,309,189,230,1146
PB&J,ck8,single,per_layer,AdaBoost,frozen_base,411,315,210,210,1146
PB&J,ck8,single,per_layer,AdaBoost,method_probe,429,297,215,205,1146
PB&J,ck8,single,mid_band,LR,frozen_base,492,297,140,217,1146
PB&J,ck8,single,mid_band,LR,method_probe,505,284,150,207,1146
PB&J,ck8,single,mid_band,RF,frozen_base,387,332,208,219,1146
PB&J,ck8,single,mid_band,RF,method_probe,414,305,222,205,1146
PB&J,ck8,single,mid_band,AdaBoost,frozen_base,401,316,197,232,1146
PB&J,ck8,single,mid_band,AdaBoost,method_probe,389,328,220,209,1146
PB&J,ck8,single,full_layer,LR,frozen_base,502,255,130,259,1146
PB&J,ck8,single,full_layer,LR,method_probe,509,248,149,240,1146
PB&J,ck8,single,full_layer,RF,frozen_base,381,328,204,233,1146
PB&J,ck8,single,full_layer,RF,method_probe,395,314,215,222,1146
PB&J,ck8,single,full_layer,AdaBoost,frozen_base,388,323,211,224,1146
PB&J,ck8,single,full_layer,AdaBoost,method_probe,377,334,225,210,1146
PB&J,ck8,single,init_band,LR,frozen_base,480,195,133,338,1146
PB&J,ck8,single,init_band,LR,method_probe,585,90,70,401,1146
PB&J,ck8,single,init_band,RF,frozen_base,353,277,198,318,1146
PB&J,ck8,single,init_band,RF,method_probe,384,246,216,300,1146
PB&J,ck8,single,init_band,AdaBoost,frozen_base,382,241,194,329,1146
PB&J,ck8,single,init_band,AdaBoost,method_probe,391,232,226,297,1146
PB&J,ck8,single,init_band_emb,LR,frozen_base,480,195,133,338,1146
PB&J,ck8,single,init_band_emb,LR,method_probe,585,90,70,401,1146
PB&J,ck8,single,init_band_emb,RF,frozen_base,350,280,208,308,1146
PB&J,ck8,single,init_band_emb,RF,method_probe,387,243,230,286,1146
PB&J,ck8,single,init_band_emb,AdaBoost,frozen_base,420,217,173,336,1146
PB&J,ck8,single,init_band_emb,AdaBoost,method_probe,374,263,225,284,1146
PB&J,ck8,single,end_band,LR,frozen_base,457,309,154,226,1146
PB&J,ck8,single,end_band,LR,method_probe,472,294,165,215,1146
PB&J,ck8,single,end_band,RF,frozen_base,392,308,200,246,1146
PB&J,ck8,single,end_band,RF,method_probe,372,328,208,238,1146
PB&J,ck8,single,end_band,AdaBoost,frozen_base,409,313,193,231,1146
PB&J,ck8,single,end_band,AdaBoost,method_probe,384,338,205,219,1146
PB&J,ck8,single,ib_no_pca,LR,frozen_base,500,129,120,397,1146
PB&J,ck8,single,ib_no_pca,LR,method_probe,580,49,55,462,1146
PB&J,ck8,single,ib_no_pca,RF,frozen_base,462,181,153,350,1146
PB&J,ck8,single,ib_no_pca,RF,method_probe,500,143,150,353,1146
PB&J,ck8,single,ib_no_pca,AdaBoost,frozen_base,487,133,127,399,1146
PB&J,ck8,single,ib_no_pca,AdaBoost,method_probe,415,205,211,315,1146
